Row/Case,Status,VARY   1,VARY   2,FLOWEA,FLOWWA,FLOWFUR,XFIN1,XFIN2,XWIN1,XWIN2,XEAIN1,XEAIN2
191,OK,6.5,48,43.75,48,6.5,0.113298319,0.0239806166,0.0315813583,0.860838431,0.855120311,0.0828183487
192,OK,6.5,50,41.75,50,6.5,0.117391125,0.0244508175,0.0316313899,0.862503464,0.850977474,0.0820012448
193,OK,7,20,71.25,20,7,0.0829051838,0.0253939695,0.0294741566,0.789412836,0.88762065,0.107205478
194,OK,7,22,69.25,22,7,0.0848218613,0.0247194095,0.02982648,0.80097759,0.885351649,0.103340761
195,OK,7,24,67.25,24,7,0.08683498,0.0242368394,0.030114074,0.810540822,0.883050937,0.100151454
196,OK,7,26,65.25,26,7,0.0889518462,0.0239042666,0.0303530649,0.818560037,0.88069508,0.097471247
197,OK,7,28,63.25,28,7,0.0911807753,0.0236922868,0.0305546681,0.825364497,0.878264547,0.0951828347
198,OK,7,30,61.25,30,7,0.0935311556,0.0235799716,0.0307268835,0.831196425,0.875741951,0.093201285
199,OK,7,32,59.25,32,7,0.0960135642,0.0235522601,0.0308755406,0.836237512,0.873110885,0.0914636447
200,OK,7,34,57.25,34,7,0.0986399283,0.0235982688,0.0310049653,0.840626411,0.870355096,0.0899222519
201,OK,7,36,55.25,36,7,0.10142373,0.0237101739,0.0311184127,0.844470543,0.867457847,0.0885403104
202,OK,7,38,53.25,38,7,0.10438026,0.023882463,0.0312183569,0.847854237,0.864401373,0.0872888868
203,OK,7,40,51.25,40,7,0.107526931,0.0241114298,0.0313066874,0.850844462,0.861166371,0.086144824
204,OK,7,42,49.25,42,7,0.110883661,0.0243948337,0.031384843,0.853494909,0.857731485,0.0850892585
205,OK,7,44,47.25,44,7,0.114473348,0.0247316777,0.0314539055,0.855848974,0.854072734,0.084106543
206,OK,7,46,45.25,46,7,0.118322462,0.0251220721,0.0315146616,0.857941936,0.850162864,0.0831834432
207,OK,7,48,43.25,48,7,0.12246178,0.0255671681,0.031567644,0.859802585,0.845970563,0.0823085244
208,OK,7,50,41.25,50,7,0.126927321,0.0260691495,0.0316131543,0.861454434,0.841459511,0.0814716657
209,OK,7.5,20,70.75,20,7.5,0.0889241142,0.0269570806,0.0294811942,0.788347748,0.88159468,0.106814272
210,OK,7.5,22,68.75,22,7.5,0.0909888336,0.0262397857,0.0298330868,0.799940955,0.879178068,0.102950564
211,OK,7.5,24,66.75,24,7.5,0.0931582181,0.0257262138,0.0301200365,0.809526173,0.876721734,0.0997599859
212,OK,7.5,26,64.75,26,7.5,0.095440234,0.0253718441,0.0303581788,0.817562114,0.874201576,0.0970766961
213,OK,7.5,28,62.75,28,7.5,0.0978439592,0.0251454958,0.0305587286,0.824378967,0.871597301,0.0947836784
214,OK,7.5,30,60.75,30,7.5,0.100379653,0.0250249754,0.0307296798,0.830219656,0.868890656,0.0927961761
215,OK,7.5,32,58.75,32,7.5,0.103058886,0.0249943148,0.0308768498,0.835266407,0.866064253,0.0910513365
216,OK,7.5,34,56.75,34,7.5,0.105894717,0.02504198,0.0310045461,0.839658279,0.863100725,0.089501545
217,OK,7.5,36,54.75,36,7.5,0.108901922,0.025159688,0.0311160003,0.843503002,0.859982065,0.0881100118
218,OK,7.5,38,52.75,38,7.5,0.112097276,0.0253416141,0.0312136568,0.84688514,0.856689055,0.0868477763
219,OK,7.5,40,50.75,40,7.5,0.115499898,0.0255838574,0.0312993681,0.849871827,0.853200721,0.0856916237
220,OK,7.5,42,48.75,42,7.5,0.119131681,0.0258840817,0.0313745287,0.852516878,0.849493776,0.0846226035
221,OK,7.5,44,46.75,44,7.5,0.12301782,0.0262412822,0.0314401655,0.854863764,0.845542,0.0836249499
222,OK,7.5,46,44.75,46,7.5,0.12718747,0.0266556441,0.0314969992,0.856947804,0.841315515,0.0826852763
223,OK,7.5,48,42.75,48,7.5,0.131674568,0.0271284766,0.0315454822,0.85879779,0.836779934,0.0817919557
224,OK,7.5,50,40.75,50,7.5,0.136518877,0.0276622098,0.0315858175,0.860437207,0.831895287,0.0809346276
225,OK,8,20,70.25,20,8,0.0949536004,0.0284949583,0.0294847325,0.787309791,0.875561653,0.106419631
226,OK,8,22,68.25,22,8,0.0971675113,0.0277356372,0.0298359693,0.79893085,0.872996506,0.102556971
227,OK,8,24,66.25,24,8,0.0994944427,0.0271915723,0.0301220445,0.808537661,0.870383499,0.099365114
228,OK,8,26,64.25,26,8,0.101943034,0.0268157656,0.0303590983,0.816590104,0.867697854,0.0966786933
229,OK,8,28,62.25,28,8,0.10452314,0.0265752962,0.0305583439,0.823419255,0.864918502,0.0943809842
230,OK,8,30,60.25,30,8,0.107245911,0.0264467318,0.0307277649,0.82926872,0.862026311,0.092387406
231,OK,8,32,58.25,32,8,0.11012393,0.0264132167,0.0308731634,0.834321244,0.859002893,0.0906352066
232,OK,8,34,56.25,34,8,0.113171415,0.0264625823,0.0309988261,0.838716282,0.855829744,0.089076817
233,OK,8,36,54.25,36,8,0.116404466,0.0265860998,0.0311079575,0.842561861,0.852487562,0.0876754513
234,OK,8,38,52.25,38,8,0.119841373,0.026777644,0.0312029684,0.845942771,0.848955643,0.0864021177
235,OK,8,40,50.25,40,8,0.123503006,0.0270331302,0.0312856704,0.848926312,0.845211308,0.0852335383
